rank,track,artist,album,streams,release_date,lead_artist_category
76,Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,The Heist,996,16/08/2011,MM
77,One Kiss,Calvin Harris and Dua Lipa,Dua Lipa,994,06/04/2018,MF
78,Sicko Mode,Travis Scott,Astroworld,992,03/08/2018,M
79,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN and Taylor Swift,Fifty Shades Darker: Original Motion Picture Soundtrack,978,09/12/2016,MF
80,Chandelier,Sia,1000 Forms of Fear,978,17/03/2014,F
81,Taki Taki,"DJ Snake featuring Selena Gomez, Ozuna and Cardi B",Carte Blanche,976,28/09/2018,M
82,Eastside,"Benny Blanco, Halsey and Khalid",Friends Keep Secrets,976,12/07/2018,MFM
83,The Hills,The Weeknd,Beauty Behind The Madness,976,27/05/2015,M
84,Rockabye,Clean Bandit featuring Sean Paul and Anne-Marie,What Is Love? & Speak Your Mind,975,21/10/2016,G
85,Sugar,Maroon 5,V,975,29/08/2014,G
86,We Don't Talk Anymore,Charlie Puth featuring Selena Gomez,Nine Track Mind,973,29/01/2016,M
87,Mi Gente,J Balvin and Willy William,Vibras,967,30/06/2017,MM
88,IDGAF,Dua Lipa,Dua Lipa,967,02/06/2017,F
89,I Like Me Better,Lauv,I Met You When I Was 18 (The Playlist),960,19/05/2017,M
90,Demons,Imagine Dragons,Night Visions,960,04/09/2012,G
91,I'm the One,"DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",Grateful,959,28/04/2017,M
92,It Ain't Me,Kygo and Selena Gomez,Stargazing,958,16/02/2017,MF
93,Riptide,Vance Joy,Dream Your Life Away,955,21/05/2013,M
94,Ride,Twenty One Pilots,Blurryface,954,17/05/2015,G
95,Old Town Road - Remix,Lil Nas X and Billy Ray Cyrus,7,954,05/04/2019,MM
96,Lovely,Billie Eilish and Khalid,13 Reasons Why: Season 2 (A Netflix Original Series Soundtrack),953,19/04/2018,FM
97,Moonlight,XXXTentacion,?,952,14/08/2018,M
98,Work,Rihanna featuring Drake,Anti,949,27/01/2016,F
99,There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate,945,20/04/2017,M
100,Me Rehúso,Danny Ocean,54+1,938,16/09/2016,M
